subject,experiment,session,comparison,channel,n_exact_diff,n_close_diff,mean_abs_diff,max_abs_diff,mean_signed_diff,std_diff,mse_channel,time_compared_samples
LTP607,ValueCourier,1,BIDS vs CMLReader,A1,0,0,0.0,0.0,0.0,0.0,0.0,10852352
LTP607,ValueCourier,1,BIDS vs CMLReader,A10,0,0,0.0,0.0,0.0,0.0,0.0,10852352
LTP607,ValueCourier,1,BIDS vs CMLReader,A11,0,0,0.0,0.0,0.0,0.0,0.0,10852352
LTP607,ValueCourier,1,BIDS vs CMLReader,A12,0,0,0.0,0.0,0.0,0.0,0.0,10852352
LTP607,ValueCourier,1,BIDS vs CMLReader,A13,0,0,0.0,0.0,0.0,0.0,0.0,10852352
LTP607,ValueCourier,1,BIDS vs CMLReader,A14,0,0,0.0,0.0,0.0,0.0,0.0,10852352
LTP607,ValueCourier,1,BIDS vs CMLReader,A15,0,0,0.0,0.0,0.0,0.0,0.0,10852352
LTP607,ValueCourier,1,BIDS vs CMLReader,A16,0,0,0.0,0.0,0.0,0.0,0.0,10852352
LTP607,ValueCourier,1,BIDS vs CMLReader,A17,0,0,0.0,0.0,0.0,0.0,0.0,10852352
LTP607,ValueCourier,1,BIDS vs CMLReader,A18,0,0,0.0,0.0,0.0,0.0,0.0,10852352
LTP607,ValueCourier,1,BIDS vs CMLReader,A19,0,0,0.0,0.0,0.0,0.0,0.0,10852352
LTP607,ValueCourier,1,BIDS vs CMLReader,A2,0,0,0.0,0.0,0.0,0.0,0.0,10852352
LTP607,ValueCourier,1,BIDS vs CMLReader,A20,0,0,0.0,0.0,0.0,0.0,0.0,10852352
LTP607,ValueCourier,1,BIDS vs CMLReader,A21,0,0,0.0,0.0,0.0,0.0,0.0,10852352
LTP607,ValueCourier,1,BIDS vs CMLReader,A22,0,0,0.0,0.0,0.0,0.0,0.0,10852352
LTP607,ValueCourier,1,BIDS vs CMLReader,A23,0,0,0.0,0.0,0.0,0.0,0.0,10852352
LTP607,ValueCourier,1,BIDS vs CMLReader,A24,0,0,0.0,0.0,0.0,0.0,0.0,10852352
LTP607,ValueCourier,1,BIDS vs CMLReader,A25,0,0,0.0,0.0,0.0,0.0,0.0,10852352
LTP607,ValueCourier,1,BIDS vs CMLReader,A26,0,0,0.0,0.0,0.0,0.0,0.0,10852352
LTP607,ValueCourier,1,BIDS vs CMLReader,A27,0,0,0.0,0.0,0.0,0.0,0.0,10852352
LTP607,ValueCourier,1,BIDS vs CMLReader,A28,0,0,0.0,0.0,0.0,0.0,0.0,10852352
LTP607,ValueCourier,1,BIDS vs CMLReader,A29,0,0,0.0,0.0,0.0,0.0,0.0,10852352
LTP607,ValueCourier,1,BIDS vs CMLReader,A3,0,0,0.0,0.0,0.0,0.0,0.0,10852352
LTP607,ValueCourier,1,BIDS vs CMLReader,A30,0,0,0.0,0.0,0.0,0.0,0.0,10852352
LTP607,ValueCourier,1,BIDS vs CMLReader,A31,0,0,0.0,0.0,0.0,0.0,0.0,10852352
LTP607,ValueCourier,1,BIDS vs CMLReader,A32,0,0,0.0,0.0,0.0,0.0,0.0,10852352
LTP607,ValueCourier,1,BIDS vs CMLReader,A4,0,0,0.0,0.0,0.0,0.0,0.0,10852352
LTP607,ValueCourier,1,BIDS vs CMLReader,A5,0,0,0.0,0.0,0.0,0.0,0.0,10852352
LTP607,ValueCourier,1,BIDS vs CMLReader,A6,0,0,0.0,0.0,0.0,0.0,0.0,10852352
LTP607,ValueCourier,1,BIDS vs CMLReader,A7,0,0,0.0,0.0,0.0,0.0,0.0,10852352
